phi_1,phi_2_mode,phi_2_err_m,phi_2_err_p,width_mode,width_err_m,width_err_p,peak_int_mode,peak_int_err_m,peak_int_err_p,linear_density_mode,linear_density_err_m,linear_density_err_p
4.9,0.049807813204537976,0.017150137819723694,0.08937401149041652,0.1824772376973216,0.16781144655885558,0.20199780314305502,198.72967646211092,168.23512644774888,237.7678383880042,90.89947140423023,70.76657781872782,120.38979915621225
5.100000000000001,0.051401515435502226,0.01557095785755769,0.09254203748037118,0.1832012860058742,0.16761312363023168,0.20202096400073044,195.09247373545654,158.63121216486564,228.52823359734737,89.58988263274219,66.64791946706798,115.72474596140707
5.3000000000000025,0.05280452412277882,0.015729226439918687,0.09758772335379792,0.18390899439580236,0.16924498991618825,0.20422224525596203,188.75017621232263,150.53935687560002,220.8822542291166,87.01222408492075,63.86395523373283,113.07167004328981
5.500000000000002,0.05520377612981941,0.01622124705755252,0.10322319624806808,0.18478745228944354,0.1695794851002879,0.20488137901056697,180.16681807440085,142.79828781863534,214.83022626738224,83.45209052688978,60.699658349373415,110.32852413267383
5.700000000000001,0.05635363020609532,0.01699099591966655,0.10913226106094052,0.18556815928473747,0.16974473480231342,0.20543915981614996,174.58393829553933,135.46302558166295,208.9595864928075,81.20778784736467,57.63774982621721,107.60574647895436
5.9,0.056110844194887585,0.01748710757105114,0.11426432277408274,0.18654421677592498,0.17062028474316274,0.20686637828602028,168.36249448988121,125.71294257955617,198.47451955325292,78.72579872319567,53.76511618984496,102.9164043498356
6.100000000000001,0.05724324309771164,0.01558625337466762,0.11647591213022294,0.18763009699816777,0.17130382577973033,0.20798775031142505,161.13702879377007,117.21659606385587,188.58247683646516,75.78579114790425,50.33222182018609,98.31709255259963
6.3000000000000025,0.053419068177830306,0.009774592748810505,0.11449608984884473,0.18854667862101207,0.17203937835498576,0.20932014835031623,140.3185365349945,110.6900519382643,181.18385670679234,66.31684660250248,47.73384186398632,95.0649595886052
6.500000000000002,0.04998362418163789,0.0066806509517234065,0.11445392875328339,0.18953726310855032,0.17244536327226956,0.21020171155609088,147.49847125975745,105.87081189123936,175.6785763803039,70.07644445993193,45.76333849133259,92.56461210809455
6.700000000000001,0.047699804662114334,0.009923594432237372,0.1204560589360206,0.1905998195163482,0.17314039875662415,0.21162052211432203,139.2551606706851,100.7922445653411,168.34192056808618,66.53094894791533,43.74369494769567,89.29764247725042
6.9,0.04509094071713765,0.004159297737243389,0.11628204685000912,0.19166091135563904,0.17361951135600123,0.21267370635133906,130.6146634260835,95.29984568413819,160.44903142226792,62.750243978811206,41.47445245295433,85.53440402135335
7.100000000000001,0.043147853947024375,-0.0014317005515534916,0.11177242080222573,0.19263240832188347,0.17474884332243176,0.21461724243022065,124.02977010612464,88.87789827845451,150.7586181415648,59.88874705160615,38.931220590257844,81.10295771502557
